name,mfr,calories,protein,fiber,carbo,sugars,cups,rating
100% Bran,Nabisco,70,4,10,5,6,0.33,68.402973
100% Natural Bran,Quaker Oats,120,3,2,8,8,1,33.983679
All-Bran,Kelloggs,70,4,9,7,5,0.33,59.425505
All-Bran with Extra Fiber,Kelloggs,50,4,14,8,0,0.5,93.704912
Almond Delight,Ralston Purina,110,2,1,14,8,0.75,34.384843
Apple Cinnamon Cheerios,General Mills,110,2,1.5,10.5,10,0.75,29.509541
Apple Jacks,Kelloggs,110,2,1,11,14,1,33.174094
Basic 4,General Mills,130,3,2,18,8,0.75,37.038562
Bran Chex,Ralston Purina,90,2,4,15,6,0.67,49.120253
Bran Flakes,Post,90,3,5,13,5,0.67,53.313813
Cap'n'Crunch,Quaker Oats,120,1,0,12,12,0.75,18.042851
Cheerios,General Mills,110,6,2,17,1,1.25,50.764999
Cinnamon Toast Crunch,General Mills,120,1,0,13,9,0.75,19.823573
Clusters,General Mills,110,3,2,13,7,0.5,40.400208
Cocoa Puffs,General Mills,110,1,0,12,13,1,22.736446
Corn Chex,Ralston Purina,110,2,0,22,3,1,41.445019
Corn Flakes,Kelloggs,100,2,1,21,2,1,45.863324
Corn Pops,Kelloggs,110,1,1,13,12,1,35.782791
Count Chocula,General Mills,110,1,0,12,13,1,22.396513
Cracklin' Oat Bran,Kelloggs,110,3,4,10,7,0.5,40.448772
Cream of Wheat (Quick),Nabisco,100,3,1,21,0,1,64.533816
Crispix,Kelloggs,110,2,1,21,3,1,46.895644
Crispy Wheat & Raisins,General Mills,100,2,2,11,10,0.75,36.176196
Double Chex,Ralston Purina,100,2,1,18,5,0.75,44.330856
Froot Loops,Kelloggs,110,2,1,11,13,1,32.207582
Frosted Flakes,Kelloggs,110,1,1,14,11,0.75,31.435973
Frosted Mini-Wheats,Kelloggs,100,3,3,14,7,0.8,58.345141
Fruit & Fibre Dates; Walnuts; and Oats,Post,120,3,5,12,10,0.67,40.917047
Fruitful Bran,Kelloggs,120,3,5,14,12,0.67,41.015492
Fruity Pebbles,Post,110,1,0,13,12,0.75,28.025765
Golden Crisp,Post,100,2,0,11,15,0.88,35.252444
Golden Grahams,General Mills,110,1,0,15,9,0.75,23.804043
Grape Nuts Flakes,Post,100,3,3,15,5,0.88,52.076897
Grape-Nuts,Post,110,3,3,17,3,0.25,53.371007
Great Grains Pecan,Post,120,3,3,13,4,0.33,45.811716
Honey Graham Ohs,Quaker Oats,120,1,1,12,11,1,21.871292
Honey Nut Cheerios,General Mills,110,3,1.5,11.5,10,0.75,31.072217
Honey-comb,Post,110,1,0,14,11,1.33,28.742414
Just Right Crunchy  Nuggets,Kelloggs,110,2,1,17,6,1,36.523683
Just Right Fruit & Nut,Kelloggs,140,3,2,20,9,0.75,36.471512
Kix,General Mills,110,2,0,21,3,1.5,39.241114
Life,Quaker Oats,100,4,2,12,6,0.67,45.328074
Lucky Charms,General Mills,110,2,0,12,12,1,26.734515
Maypo,American Home Food Products,100,4,0,16,3,1,54.850917
Muesli Raisins; Dates; & Almonds,Ralston Purina,150,4,3,16,11,1,37.136863
Muesli Raisins; Peaches; & Pecans,Ralston Purina,150,4,3,16,11,1,34.139765
Mueslix Crispy Blend,Kelloggs,160,3,3,17,13,0.67,30.313351
Multi-Grain Cheerios,General Mills,100,2,2,15,6,1,40.105965
Nut&Honey Crunch,Kelloggs,120,2,0,15,9,0.67,29.924285
Nutri-Grain Almond-Raisin,Kelloggs,140,3,3,21,7,0.67,40.69232
Nutri-grain Wheat,Kelloggs,90,3,3,18,2,1,59.642837
Oatmeal Raisin Crisp,General Mills,130,3,1.5,13.5,10,0.5,30.450843
Post Nat. Raisin Bran,Post,120,3,6,11,14,0.67,37.840594
Product 19,Kelloggs,100,3,1,20,3,1,41.50354
Puffed Rice,Quaker Oats,50,1,0,13,0,1,60.756112
Puffed Wheat,Quaker Oats,50,2,1,10,0,1,63.005645
Quaker Oat Squares,Quaker Oats,100,4,2,14,6,0.5,49.511874
Quaker Oatmeal,Quaker Oats,100,5,2.7,-1,-1,0.67,50.828392
Raisin Bran,Kelloggs,120,3,5,14,12,0.75,39.259197
Raisin Nut Bran,General Mills,100,3,2.5,10.5,8,0.5,39.7034
Raisin Squares,Kelloggs,90,2,2,15,6,0.5,55.333142
Rice Chex,Ralston Purina,110,1,0,23,2,1.13,41.998933
Rice Krispies,Kelloggs,110,2,0,22,3,1,40.560159
Shredded Wheat,Nabisco,80,2,3,16,0,1,68.235885
Shredded Wheat 'n'Bran,Nabisco,90,3,4,19,0,0.67,74.472949
Shredded Wheat spoon size,Nabisco,90,3,3,20,0,0.67,72.801787
Smacks,Kelloggs,110,2,1,9,15,0.75,31.230054
Special K,Kelloggs,110,6,1,16,3,1,53.131324
Strawberry Fruit Wheats,Nabisco,90,2,3,15,5,1,59.363993
Total Corn Flakes,General Mills,110,2,0,21,3,1,38.839746
Total Raisin Bran,General Mills,140,3,4,15,14,1,28.592785
Total Whole Grain,General Mills,100,3,3,16,3,1,46.658844
Triples,General Mills,110,2,0,21,3,0.75,39.106174
Trix,General Mills,110,1,0,13,12,1,27.753301
Wheat Chex,Ralston Purina,100,3,3,17,3,0.67,49.787445
Wheaties,General Mills,100,3,3,17,3,1,51.592193
Wheaties Honey Gold,General Mills,110,2,1,16,8,0.75,36.187559